accession	input_type	sra_ids	bioproject_ids	error
GSE190149	GEO			
GSE334273	GEO	44948520;44948519;44948518;44948517	PRJNA1474477	
GSE293573	GEO			
GSE312010	GEO	41776003;41776002;41776001	PRJNA1372054	
GSE128273	GEO			
GSE328779	GEO			
GSE296916	GEO			
GSE173650	GEO			
GSE115612	GEO			
GSE280655	GEO	35867172	PRJNA1179903	
GSE325829	GEO			
GSE293948	GEO			
GSE313896	GEO	42083316;42083315;42083314;42083313;42083312;42083311;42083310;42083309;42083308;42083307	PRJNA1387210	
GSE303344	GEO			
GSE326326	GEO			
GSE269572	GEO	33208548;33208547;33208546;33208545;33208544;33208543;33208542;33208541;33208540;33208539	PRJNA1122543	
GSE329346	GEO	44193685;44193684;44193683;44193682;44193681;44193680;44193679;44193678		
GSE106245	GEO			
GSE138002	GEO			
GSE118184	GEO			
GSE130238	GEO			
GSE142526	GEO			
GSE152212	GEO			
GSE158999	GEO			
GSE162547	GEO			
GSE148093	GEO			
GSE194214	GEO			
GSE196799	GEO			
GSE216481	GEO			
GSE107185	GEO			
GSE127202	GEO			
GSE156170	GEO			
GSE122662	GEO			
GSE142078	GEO			
PRJNA893678	BioProject		893678	
PRJNA419230	BioProject		419230	
PRJNA524331	BioProject		524331	
PRJNA656958	BioProject		656958	
PRJNA505909	BioProject		505909	
PRJNA595864	BioProject		595864	
